"","employee_id","company_id","dept","seniority","salary","join_date","quit_date"
"1",13021,7,"customer_service",28,89000,"2014-03-24","2015-10-30"
"2",825355,7,"marketing",20,183000,"2013-04-29","2014-04-04"
"3",927315,4,"marketing",14,101000,"2014-10-13",NA
"4",662910,7,"customer_service",20,115000,"2012-05-14","2013-06-07"
"5",256971,2,"data_science",23,276000,"2011-10-17","2014-08-22"
"6",509529,4,"data_science",14,165000,"2012-01-30","2013-08-30"
"7",88600,4,"customer_service",21,107000,"2013-10-21",NA
"8",716309,2,"customer_service",4,30000,"2014-03-05",NA
"9",172999,9,"engineer",7,160000,"2012-12-10","2015-10-23"
"10",504159,1,"sales",7,104000,"2012-06-12",NA
"11",892155,6,"customer_service",13,72000,"2012-11-12","2015-02-27"
"12",904158,2,"marketing",17,230000,"2015-05-11",NA
"13",939058,1,"marketing",1,48000,"2012-12-10","2013-11-15"
"14",163427,10,"marketing",23,154000,"2012-06-18","2015-09-25"
"15",461248,2,"sales",20,201000,"2013-09-16","2014-08-22"
"16",265226,1,"data_science",4,80000,"2014-05-27","2015-07-10"
"17",932790,7,"marketing",10,88000,"2011-11-30","2013-11-22"
"18",69693,7,"customer_service",6,54000,"2014-03-31",NA
"19",721600,2,"marketing",20,193000,"2014-12-29",NA
"20",982668,1,"customer_service",14,76000,"2015-07-27",NA
"21",123896,7,"engineer",19,231000,"2015-10-19",NA
"22",219944,6,"customer_service",15,98000,"2012-06-25","2013-05-31"
"23",569302,5,"data_science",14,144000,"2011-11-28","2015-07-06"
"24",189981,3,"marketing",14,97000,"2013-08-20","2014-08-15"
"25",819445,2,"marketing",6,151000,"2013-07-29","2014-08-01"
"26",467023,3,"customer_service",15,110000,"2011-05-31","2013-02-08"
"27",6808,4,"data_science",26,230000,"2013-08-26",NA
"28",940786,3,"data_science",27,223000,"2011-03-21","2012-03-02"
"29",888375,1,"customer_service",5,75000,"2011-08-01","2013-10-04"
"30",564835,5,"customer_service",6,71000,"2011-02-14","2014-04-11"
"31",72260,1,"engineer",18,315000,"2015-06-08",NA
"32",476097,1,"customer_service",23,111000,"2012-07-16","2015-05-15"
"33",922883,7,"engineer",16,291000,"2015-03-31",NA
"34",29950,2,"design",20,210000,"2013-05-20",NA
"35",298691,1,"engineer",21,259000,"2014-08-26",NA
"36",361378,2,"marketing",25,207000,"2013-03-11","2015-01-16"
"37",958767,7,"customer_service",19,103000,"2012-10-08","2013-10-11"
"38",942845,4,"sales",14,105000,"2012-06-25","2013-05-31"
"39",573299,9,"customer_service",20,108000,"2015-04-13",NA
"40",739669,2,"engineer",9,178000,"2011-11-28",NA
"41",390806,3,"customer_service",23,101000,"2013-03-18",NA
"42",489148,2,"engineer",5,192000,"2014-04-21",NA
"43",991265,5,"data_science",14,154000,"2011-06-13","2012-07-27"
"44",13380,9,"customer_service",20,117000,"2012-02-21","2014-01-17"
"45",16871,1,"customer_service",23,1e+05,"2015-03-31",NA
"46",537932,1,"customer_service",7,89000,"2014-08-18","2015-08-13"
"47",282949,8,"data_science",26,218000,"2015-03-16",NA
"48",139022,2,"data_science",20,317000,"2011-11-28","2014-11-21"
"49",945037,9,"engineer",27,192000,"2015-05-04",NA
"50",695896,7,"sales",7,1e+05,"2012-07-30","2013-07-12"
"51",280427,1,"marketing",9,112000,"2011-06-13","2015-05-15"
"52",611637,3,"marketing",2,39000,"2012-06-25","2014-09-26"
"53",437897,10,"customer_service",29,99000,"2014-07-29","2015-08-28"
"54",960822,9,"customer_service",9,70000,"2012-01-09","2013-03-08"
"55",789114,1,"data_science",2,76000,"2012-05-07","2015-07-24"
"56",87671,1,"sales",9,122000,"2013-12-16","2015-01-30"
"57",75539,1,"engineer",13,180000,"2012-06-04",NA
"58",244626,1,"marketing",3,47000,"2012-03-12","2013-04-05"
"59",957742,1,"customer_service",29,141000,"2013-07-15","2014-05-02"
"60",268784,4,"marketing",5,99000,"2012-02-21","2014-12-19"
"61",701728,2,"customer_service",19,109000,"2012-08-27","2014-03-25"
"62",54096,1,"data_science",23,338000,"2011-09-14","2013-10-18"
"63",41164,1,"customer_service",28,133000,"2014-09-02","2015-09-04"
"64",779068,2,"sales",25,166000,"2014-11-24","2015-10-30"
"65",503937,3,"customer_service",5,68000,"2014-12-29",NA
"66",47442,1,"customer_service",8,90000,"2013-10-07",NA
"67",928528,1,"data_science",18,3e+05,"2015-03-23",NA
"68",263170,2,"data_science",28,265000,"2012-10-22",NA
"69",707610,7,"marketing",27,158000,"2012-06-25","2015-02-20"
"70",864762,3,"customer_service",22,89000,"2013-06-03","2015-02-27"
"71",428183,1,"data_science",1,79000,"2014-10-13",NA
"72",727560,1,"design",29,216000,"2011-03-21","2013-01-11"
"73",641843,3,"customer_service",18,90000,"2012-01-23","2014-04-04"
"74",752719,1,"sales",4,57000,"2013-03-13","2014-02-21"
"75",970566,8,"sales",4,39000,"2011-04-18","2015-02-06"
"76",611675,3,"customer_service",8,68000,"2012-10-08","2013-09-27"
"77",176568,5,"marketing",18,151000,"2015-03-30",NA
"78",507843,5,"engineer",23,275000,"2011-08-02",NA
"79",895072,7,"marketing",23,180000,"2015-11-16",NA
"80",678783,2,"marketing",15,216000,"2014-12-01",NA
"81",660969,1,"customer_service",23,126000,"2014-03-10",NA
"82",539604,9,"customer_service",13,60000,"2015-07-13",NA
"83",244440,7,"marketing",7,87000,"2013-07-16","2014-06-20"
"84",511426,3,"customer_service",28,99000,"2013-11-11","2015-10-09"
"85",58586,2,"engineer",28,357000,"2014-07-14",NA
"86",312508,1,"marketing",24,170000,"2012-02-29","2013-04-01"
"87",998574,5,"marketing",6,106000,"2013-09-23","2015-07-31"
"88",389668,1,"sales",5,113000,"2012-01-03","2012-10-19"
"89",176931,2,"engineer",25,314000,"2012-01-30","2015-01-02"
"90",849741,1,"customer_service",22,123000,"2015-07-07",NA
"91",153827,8,"marketing",19,150000,"2011-07-18","2014-08-15"
"92",939712,2,"customer_service",12,68000,"2015-06-08",NA
"93",172148,4,"engineer",22,243000,"2014-12-22",NA
"94",821911,6,"engineer",2,50000,"2013-12-02",NA
"95",440303,8,"customer_service",1,24000,"2011-09-19","2012-10-26"
"96",669716,2,"data_science",23,323000,"2012-02-27","2015-02-27"
"97",891337,8,"data_science",14,167000,"2013-12-30",NA
"98",751235,3,"sales",13,99000,"2014-07-21",NA
"99",248453,4,"customer_service",15,107000,"2012-01-17","2014-09-26"
"100",695819,5,"customer_service",10,66000,"2013-07-01","2014-06-27"
"101",763336,7,"customer_service",8,61000,"2014-02-25",NA
"102",58880,10,"customer_service",25,97000,"2015-02-17",NA
"103",713537,2,"customer_service",15,123000,"2015-08-03",NA
"104",80669,6,"design",24,130000,"2011-10-03","2012-09-28"
"105",520415,3,"customer_service",14,68000,"2011-09-26","2012-08-29"
"106",908625,4,"engineer",16,245000,"2014-04-14","2015-05-01"
"107",593208,3,"customer_service",13,63000,"2012-11-05",NA
"108",518561,4,"design",18,165000,"2013-04-08","2014-02-13"
"109",712645,1,"customer_service",27,123000,"2011-10-03","2014-11-21"
"110",527399,2,"data_science",6,203000,"2015-01-26",NA
"111",472895,2,"sales",28,206000,"2014-02-12",NA
"112",684003,9,"engineer",5,156000,"2015-08-31",NA
"113",473490,1,"design",18,216000,"2011-08-01","2014-09-02"
"114",749119,1,"data_science",22,304000,"2015-10-07",NA
"115",74405,4,"customer_service",7,67000,"2013-09-16","2014-08-20"
"116",618285,7,"customer_service",22,94000,"2015-01-20",NA
"117",725049,1,"data_science",28,284000,"2014-02-03",NA
"118",301919,1,"customer_service",17,132000,"2012-12-17","2014-01-24"
"119",657940,1,"customer_service",20,122000,"2015-08-03",NA
"120",901938,3,"customer_service",24,101000,"2013-02-06",NA
"121",949168,1,"customer_service",6,74000,"2014-05-05",NA
"122",749309,1,"engineer",15,299000,"2014-10-27",NA
"123",765089,1,"marketing",17,227000,"2013-01-10","2013-12-27"
"124",102091,4,"customer_service",7,74000,"2014-12-15",NA
"125",120280,1,"data_science",22,303000,"2014-11-03","2015-10-23"
"126",98699,1,"customer_service",16,131000,"2013-01-22","2015-02-13"
"127",396099,10,"engineer",15,216000,"2013-12-30","2015-10-23"
"128",383357,8,"engineer",12,132000,"2012-10-23","2013-12-06"
"129",113155,3,"engineer",8,154000,"2014-04-14",NA
"130",348281,2,"engineer",6,215000,"2011-12-12","2015-04-10"
"131",74428,1,"customer_service",15,115000,"2015-06-02",NA
"132",879533,1,"marketing",9,108000,"2013-05-30",NA
"133",701600,1,"data_science",14,186000,"2012-07-24",NA
"134",129130,3,"design",22,158000,"2014-09-10",NA
"135",720874,6,"design",6,115000,"2015-09-28",NA
"136",465890,1,"marketing",2,49000,"2012-02-27","2014-05-16"
"137",199977,2,"data_science",12,198000,"2013-06-24",NA
"138",391536,2,"engineer",2,79000,"2014-07-24",NA
